nyu_id,name
10109,Climate Hawks Vote Political Action. Not authorized by any candidate or candidate's committee.
10110,The Committee for Ranked Choice Voting
10111,"Mike Callton For State Senate, P.O. Box 676, Nashville, MI 49073"
10112,NICK FREITAS FOR U.S. SENATE
10113,Emerge America
10114,Oklahomans for Mick Cornett 2018
10115,SAM Action
10116,"Clinton House Museum, a private, nonprofit, nonpartisan organization."
10117,"Ruta Maria Jouniari, Democrat for Sarasota County Commission, District 2"
10118,Friends of Natalie Iwasa
10119,Citizens for Tom Morrison
10120,Politics and Cocktails
10121,"Greitens for Missouri, Jeff Stuerman, Treasurer"
10122,NYC Department of Health and Mental Hygiene
10123,CTE Paul Wojno for State Senate
10124,AARP Idaho
10125,Alex Carter For State House
10126,"with regulated funds by Partners for Transit Ballot Committee, P.O. Box 8093, Ann Arbor, MI 48107"
10127,Victoria Foley and authorized by Victoria Foley
10128,Citizens for Fernandez
10129,the Turner Campaign
10130,FileRight
10131,Elect Chris Head
10132,Ben & Jerry's
10133,Citizens for Dan Cronin
10134,"Friends of Joe Gagnon, Gerald Snodgrass, Treasurer"
10135,John Mannone
10136,Princess 
10137,Ryan A. Farber For President
10138,Gearman for Sheriff
10139,Walton Family Foundation
10140,Driving Arkansas Forward
10141,Re-elect Jim Beckert
10142,Committe to Elect Dan Caulkins
10143,"Rebecca Purington Campaign.  Missy Horesh, Treasurer"
10144,Young Kim for Congress
10145,Adam Milasincic Campaign
10146,Friends of Ryan LoRee
10147,Friends of David Seman
10148,Provenzano for House District 79 2018
10149,Derek Armstead
10150,Naytev
10151,Friends of Dan Feehan
10152,Paid for by Emerge Maryland
10153,Party People
10154,Duty and Country. Not authorized by any candidate or candidate’s committee.
10155,George Hansel for Keene
10156,The Future of Nursing: Campaign for Action 
10157,Ty Bodden for Wisconsin
10158,The Moscow Project
10159,Marc Sobel for Supervisor 2018 ID#1391488
10160,Yes on Proposition 68 
10161,Frontier Fairness PAC
10162,Carl Carter for Alabama Senate 11
10163,Issue One Action
10164,American Military News LLC
10165,Committee to Elect Adam Burkemper Circuit Judge
10166,"the Committee to Elect Spiro, 2153 Government St. Mobile, AL 36606"
10167,"This message has been authorized and paid for by Republican Governors Association, Michael G. Adams, Treasurer. This message has not been authorized or approved by any candidate or ballot issue committee."
10168,Jake Botticello
10169,Kitchen for Court of Appeals Committee
10170,"Mary Fasbender for Hastings Mayor, 521 W. 13th St., Hastings, MN 55033. Copyright 2018."
10171,Friends of Matt Jensen
10172,Stockstill for Congress
10173,"KELLI WARD FOR SENATE, INC."
10174,Private
10175,the Competitive Enterprise Institute 
10176,The Patriot Center
10177,Paid for by Communications Workers of America COPE Account
10178,Buckley For House 2018
10179,Progressive Consulting Strategies
10180,Friends of Stewart Greenleaf
10181,Tim Walz for Governor
10182,"Friends of Harry Freeman. Sahan Kamara, Treasurer."
10183,COMMITTEE TO ELECT WEBER SHERIFF
10184,Save Marple Greenspace
10185,Not One Penny
10186,Dr. Phillip Conner for US Congress
10187,"Edward J. Miles, a resident and citizen of the United States"
10188,El Chasqui USA Company
10189,The Brookings Institution
10190,Larsen Jay for Knox County Commission
10191,Luis Andrade
10192,"Sweet for Governor, Frank O'Hara, Treasurer."
10193,The Committee to Elect Steve Eliason
10194,Missoula Current and Montana Today
10195,Rob Richardson for Ohio Treasurer
10196,Lee campaign 
10197,Stacy Hackenberg for JP4
10198,"Committee to Elect Will Motlow Probate Judge P.O. Box 569 Florence, AL 35631"
10199,"Jake Carris Financial Planning, LLC"
10200,Dan Miller for Sheriff 
10201,Wolf-PAC
10202,Zapanta Campaign
10203,Cooking Matters Colorado
10204,John C. Ackerman for Tazewell County Clerk
10205,The Committee To Elect Kelly Townsend For House
10206,Sharron Angle for Congress
10207,Borderwise
10208,"John Paladin and Attorney Paladin, Los Angeles, California. Supporter of National Popular Vote, Every Vote Equal, End Citizens United, Move To Amend, Term Limits and The Federal Accountability Amendment."
10209,"VENEKLASEN FOR OUR FUTURE. DON DEVITO, TREASURER"
10210,"Families & Teachers for Antonio Villaraigosa for Governor 2018, sponsored by California Charter Schools Association Advocates. Committee major funding from Reed Hastings, Eli Broad and Michael Bloomberg. Not authorized by a candidate or a committee controlled by a candidate."
10211,Demet Haksever
10212,"Committee to Elect Rich DePalma, Theresa Bastian Treasurer. This campaign has agreed to comply with the contribution and expenditure limits of the Austin Fair Campaign Ordinance."
10213,Friends of Ed Thompson
10214,Coalition for Affordable Housing
10215,Horry County Democratic Party
10216,Elkins Committee
10217,Friends of George Flinn
10218,Friends of Dronenburg for Assessor 2018
10219,Yellowhammer Fund
10220,Friends of Brandon Creighton
10221,Colorado United for Families
10222,Friends of Beth Moore LLC
10223,"Wolf PAC. This message has been authorized by Wolf PAC, 6230 Wilshire Blvd Suite 140, Los Angeles, CA 90048, David Koller, Treasurer. This message has not been authorized or approved by any candidate, candidate’s committee, or ballot issue committee."
10224,Parl
10225,Dr. Abigail Levrini for St. Johns County School Board District 4 2018
10226,the Beaver Valley Preservation Alliance
10227,"Paid for by San Bernardino County Sheriff's Employees' Benefit Association, for Steinorth and Hagman – Supervisor, Ramos – DA, Valdez – Auditor, McMahon – Sheriff 2018. Not authorized by a candidate or a committee controlled by a candidate."
10228,Summit Republican City Committee
10229,The Committee to Elect Steve McMichael to Build a Better New Haven
10230,Nick Feher 'TAKE 5' Foundation
10231,Albert Chao
10232,Gavin Newsom for Governor
10233,"Friends of Lee Hamilton, P.O. Box 68, Dadeville, AL 36853."
10234,"Neal Appelbaum, Treasurer"
10235,UsAgainstAlzheimer's
10236,Right on Campus Inc.
10237,Planned Parenthood Votes! South Atlantic
10238,Signorello for Office
10239,Aric Chen 曉天
10240,John Piper
10241,Republican Party of San Juan County NM
10242,"Mike Hill Republican for Florida State House, District 1"
10243,DuVal for Georgia
10244,Blackburn Tennessee Victory Fund
10245,32BJ SEIU
10246,2018 Kelley for Senate
10247,Committee to Elect Shawna Jeavons for Mendocino County 3rd District Supervisor
10248,FRIENDS OF SCOTT MCEACHIN 2018
10249,Springboard Action
10250,"John D. Moss Campaign, Candidate"
10251,Xochitl Lopez
10252," Hegeman for Senate, Glen Klippenstein, Treasurer."
10253,Sean Eastham
10254,Jacque Phillips for State House District 34
10255,The Christianson Campaign
10256,"Friends of Paul Monteiro, Leslie Bridges, Treasurer"
10257,Ryan Winkle
10258,James For Weld
10259,Archambault for State Senate
10260,The Energy Cooperative 
10261,"Paid for by the Committee to Elect Brandy Hambright, Circuit Court, PO Box 1901 Mobile, AL 36633"
10262,Hearsey for Congress
10263,Keystone Research Center
10264,Kent Carper for County Commission
10265,"Webb For House Rep, Stuart Platt, Treasurer"
10266,Kern County Supervisor David Couch
10267,Brian McClendon for Kansas Committee
10268,No Labels. Not Authorized by Any Candidate or Candidate Committee.
10269,Friends of Faber
10270,PPRM Bargaining Team
10271,Friends for the Election of Judge Stephen Clark 2018
10272,Coalition to Protect America's Health Care
10273,Bob Rackleff
10274,Paid for and approved by Megan Harding canadate for Pasco County School Board District 5 
10275,Association for Accessible Medicines
10276,official funds authorized by the House of Representatives
10277,The Committee To Elect Wayne Coats Sheriff
10507,Ro for Congress
10278,"Committee to Elect Susan K. McComas, Mary Lou Hoopes, Treasurer"
10279,Brian Flynn for Congress
10280,The Welcome. Campaign
10281,DeWitt for Congress
10282,GOPAC Not Authorized by Any Candidate or Candidate Committee
10283,"Affordable Housing for All, Yes on D"
10284,Nicholson for Senate
10285,"Friends of Adam Schwadron, Andrew Westerfeld - Treasurer"
10286,"Paid for by Committee to Elect Sharon L. Pace, Damon Ambus, Treasurer"
10287,VILLARAIGOSA FOR GOVERNOR 2018 FPPC ID# 1392364
10288,NYS Laborers' LECET
10289,David Richardson for Congress
10290,Mikie Sherrill for Congress
10291,People For the American Way
10292,Dr. Kim Schrier for Congress
10293,Scott Baugh for Congress
10294,Steve Skrovan
10295,Jonathan Lee
10296,War Against Racism
10297,DTN/The Progressive Farmer.
10298,Kevin Drummond
10299,Andrew Hairston for Circuit Judge
10300,"Friends For Locke Thompson, Sherry Mariea Treasurer."
10301,TowsonFlyer
10302,Pancreatic Cancer Action Network
10303,Bunni Pounds for Congress
10304,Krist for Nebraska
10305,Mid Michigan Waste Authority
10306,Labiosa for Council
10307,"Californians for Affordable Housing, sponsored by the California Rental Housing Association. Committee major funding from: California Rental Housing Association"
10308,The Policy Aide
10309,New Yorker's Family Research Foundation
10310,Washington Blade
10311,Northeast Supply Enhancement
10312,the American Heart Association
10313, Ghulam Qadir For Michigan State Senate Committee
10314,Dennis Deal for Hawkins County Mayor
10315,Gupta for Congress
10316, VoteHaoWu
10317,Pro-Choice Kern County
10318,Friends of Dr. John Myers 2018
10319,The North Carolina Healthcare Association
10320,"Jason Brodeur, Republican, for State Senate."
10321,Association of California Cities-Orange County
10322,Covenant House International
10323,"Friends of Bill Paulshock, Jim Ellis, Treasurer"
10324,"Amelia Marquez for HD52| Democrat| Vicki Dickinson, Treasurer | 1121 Rays Lane, Billings, MT 59101"
10325,The Great Courses
10326,Friends of Andy Manar
10327,"Emily Fritz, Non-Partisan for Leon County Commission."
10328,PAID FOR BY KATIE ARRINGTON FOR CONGRESS
10329,Colorado Department of Human Services
10330,"Dr. Erhabor Ighodaro for Miami Gardens City Council, Seat 6"
10331,Jennifer Hernandez for Clerk
10332,Schaefer Law Firm
10333,"Ford for the People, 81-950 Makahiki Lane, Captain Cook, HI 96704"
10334,"Friends of Sabina Taj |  Buffy Beaudoin-Schwartz, Treasurer | © 2018"
10335,Club for Growth Action
10336,Forward Not Back. Not authorized by any candidate or candidate's committee.
10337,Linda Thomas for Judge 2018
10338,"Jason Helton, Candidate for Carroll County Board of Education"
10339,"Emineth for North Dakota, Andrea Toman, Treasurer"
10340,Earl Bowerman for Congress
10341,Nick Howland for Duval County School Board
10342,"Citizens for Raymond Lampert, Raymond Lampert, Treasurer"
10343,"Vote Edie Grunwald, PO Box 896, Palmer, Alaska 99645"
10344,Tiffany Shedd for Congress Committee
10345,Curt VanderWall for State Senate
10346,FreedomWorks for America. Not authorized by any candidate or candidate's committee.
10347,GREG LOPEZ FOR GOVERNOR
10348,Carla Nelson for Congress
10349,Committee to Elect Ali Mazarei for Assembly 2018
10350,Dan Centers for State Representative 
10351,Friends of Angela Conley 
10352,Friends of Brian Marcos
10353,Housley for Senate Committee
10354,supporters of Ryan Arbon for Weber County Sheriff 
10355,Levenson for Congress
10356,Guy Lebida for House
10357,Kevin Walsh for Kyrene School Board
10358,"Brewer for Kansas, Ron Holt, Treasurer"
10359,Political advertisement paid for and approved by Bill Mathias for Lake County School Board
10360,Center for Biological Diversity
10361,Committee for Jasmine Clark for Georgia House
10362,Jay Sidie for Congress
10363,FreightWaves
10364,Damon Martinez for Congress
10365,Cumberland County Young Republican Organization
10366,"Unminced Words, LLC - Not Affiliated with any Campaign or PAC"
10367,Paid for by Women's Rights and Empowerment Network
10368,AARP Utah
10369,"By Authority: Stephen Sugg for Board of Education, Karen Radermacher, Treasurer"
10370,John Mack
10371,Bonner & Partners
10372,the Michigan Infrastructure & Transportation Association
10373,Friends of Erick Harris 2018
10374,theLexperience
10375,the Invest in Education Committee. Not authorized by any candidate.
10376,"Clean Air Clean Energy Washington 4347 Roosevelt Way NE Seattle, WA 98105"
10377,Justin Criswell
10378,"Paid for by the Committee to elect Lee Cohen for Tenth Judicial Circuit Judge, Group 10, approved by Lee Cohen"
10379,Friends of Bridget Fitzgerald
10380,The Century Foundation
10381,Derek Kitchen for Senate 2
10382,JASON SMITH FOR CONGRESS
10383,"Pat McDonough Leadership Team. Valerie McDonough, Treasurer."
10384,Neighbors for a Better Lakeview
10385,Friends of Joe Webster
10386,"Clarke White for House Committee 504 Candlewood Dr. Enterprise, AL 36330"
10387,"Friends of Ashwani Jain, Sarah Hunter, Treasurer"
10388,Warrior 12
10389,Hourglass Films
10390,Congressman Mark Walker
10391,Asheesh Dewan
10392,Utah Lt. Governor's Office
10393,Conservatives for Clean Energy
10394,"Committee to Save Rural Seminole County, Inc."
10395,Friends for Donna Sheldon
10396,The Committee to Elect Mark Pettway
10397,"Scott Davis for Tennessee.  Tom Baker, Treasurer."
10398,Steiner for Corona City Council District 4
10399,"Trail Blazer Campaign Services, Inc."
10400,Seminary for Mayor
10401,"Reno Luna, 22 Larkwood Lane, Del Rio, Tx 78840"
10402,Diane Black for Governor
10403,Americans For Joe Ciardullo
10404,Minnesota Center for Environmental Advocacy
10405,Judy Justice for Board of Education
10406,"the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW).  Not authorized by any candidate."
10407,Ryan McAdams For Congress 
10408,Rose Roland
10409,Bill King
10410,"Vote Robert L. Smith, Dianne L. Smith Treasurer"
10411,Paid For By Friends Of Marilyn Mosby
10412,Connie T. Doss for Carroll County Clerk
10413,Canright for Sheriff
10414,Elect Jesse Salomon 
10415,Micah Ali - Compton School Board 2019
10416,The Committee To Elect Amber Hunt Sisco
10417,Matt Hall for Mayor 2018
10418,Friends For Stephanie Barry
10419,Human Rights Campaign New England
10420,Ronald Gelok & Associates
10421,CNN
10422,Committee to Elect John Isner
10423,Pennsylvania United
10424,Dianna Ploss
10425,Kyle Mullica for HD 34
10426,Henry Holt and Company
10427,Susan B. Anthony List
10428,Orange County Coastkeeper
10429,Ian Todd for Congress
10430,Animal Matters
10431,"Michigan Regional Council of Carpenters, Operating Engineers 324 and Michigan Laborers District Council "
10432,Citizens for Jean Kaczmarek
10433,"Friends to Elect Kara Reeves for School Board, Marcus Love, Treasurer"
10434,NARAL Pro-Choice Missouri
10435,J. Caleb Donner FPPC# 1402646
10436,AARP Connecticut
10437,Friends of Rodney Barber
10438, the Tennessee Democratic Party
10439,Leo Biasiucci Committee #: 201800222
10440,"Scott Dawson for Governor, Inc."
10441,Stacy Mungo For City Council 2018
10442,Friends of John Barrasso
10443,"Jay Fant, Republican, for Attorney General."
10444,California Freedom and Prosperity Fund PAC
10445,Senator Rick Ward
10446,Democrats Organizing for America
10447,Beto for Texas
10448,PAC for a Change
10449,Outrider Foundation
10450,Humble Area Democrats
10451,Jois for Congress Inc. Authorized by Goutam Jois
10452,"By Authority of Richard McDowell, Treasurer"
10453,truth
10454,The Committee to Elect Peter Keenan
10455,Sasha for State
10456,"The Committee to Elect Kirk Westphal | 3465 Vintage Valley Rd | Ann Arbor, MI 48105"
10457,Bruce J. Berger
10458,Jerome Moon for State House
10459,The Independence Fund
10460,Science for Humans and Freedom Institute
10461,Texas Association of Health Plans
10462,Committee to Protect MO Families
10463,Friends of Julian Lopez
10464,The Committee to Elect Erin Kelley
10465,Committee To Elect Doug Zylstra
10466,"Citizens for Susan Burdette, JudySeling, Treasurer."
10467,Catholics Confront Global Poverty
10468,Land for Maine’s Future Coalition
10469,California Justice & Public Safety PAC
10470," Citizens for Matt Dernoga, George Arnold, Treasurer"
10471,Matthew Steigler
10472,CARE FL
10473,Feeding America
10474,Campaign for Kathy Beard
10475,"Teri Banas for State House, Angela Wilson, Treasurer | 5606 Creekwood, Haslett MI 48840"
10476,Kristie Fiegen for South Dakota
10477,The New Movement
10478,Valley Friends Meeting
10479,Julie Willoughby Political Organization
10480,Summers for Mayor
10481,"White4WilCo, Kreis White, Treasurer"
10482,Paul Kerr for Congress.
10483,Dan LeClair for Senate
10484,"Mothers Against Police Brutality, Inc."
10485,Friends of Neil Combee
10486,East Bay Democratic Socialists of America Electoral Committee
10487,Partners for Progress
10488,North Carolina Republican Council of State Committee
10489,Equality New Mexico
10490," the Committee to Elect Claudia Mitchell | P.O. Box 4074 | Montgomery, AL 36103"
10491,Chris Rahlf for Assembly
10492,Personally by Matthew Molyett
10493,the Committee to Elect Marc McGovern
10494,Friends of Marcia Hovey-Wright
10495,Bergman for Congress
10496,"Elect Bill White, Margaret Nichols, Treasurer"
10497,Samuel C. Arp II for Prosecutor Committee
10498,Townhall Media 
10499,Harley Rouda for Congress
10500,The Young Democrats of America
10501,Ken Fredette for Governor
10502,Paid by Committee to elect Mike Whiting
10503,Abraham Lincoln Presidential Library and Museum
10504,"Marsy’s Law for Georgia, LLC Henry T Nicholas, Chair"
10505,Greg Steube Congressional Committee
10508,Friends of Denecia Taylor-Cassil 2018
10509,The Committee:  Friday for U.S. Congress
10510,Carrie O'Malley for Irvine City Council
10511,Vivian Moreno for City Council 2018
10512,Coolman for RI
10513,11th Hour Racing
10514,Robin Crossan
10515,"Friends of Ellie Mitchell, Jo Ann Robinson, Treasurer "
10516,Newsom for California – Governor 2018
10517,Charles Hanley for Tazewell County Coroner
10518,Rudy Salas for Assembly 2018
10519,Friends of Jenn Alford-Teaster
10520,"Smith for Freeholder, Krickus for Freeholder, Shaw for Freeholder"
10521,The Gayted Community
10522,"Citizens to Elect Paul Curtman - Zach Curtman, Treasurer"
10523,Clay Loneman
10524,The Republican Party of Sarasota County
10525,Joel Engardio
10526,Lawrence Township Democrat Club
10527,Nevada Progressives United
10528,Inequality Media
10529,Mike Hunter for Attorney General 2018
10530,Tom Mix for Cleburne County Judge Campaign
10531,"Paid political ad by Committee to elect George Zoghby, P.O. Box 817-0817, Mobile, AL 36601"
10532,The Committee to Elect Keith Rubino
10533,Oconee County Democratic Party
10534,"Friend of Rick Yaffe- By Authority, Darryl Becker, Treasurer"
10535,Paramount Communications
10536,Ugenti Rita for Senate
10537,Friends of Eric Roe
10538,"Health Reform Team, Inc."
10539,California Calls
10540,WIN Energy REMC
10541,"Polk ""Cat Brooks"" for Oakland Mayor 2018 #1405474"
10542,Friends of Dan Quart
10543,Committee to Elect Audrey Gibbons 
10544,Hohensee for Brown County Sheriff Committee 
10545,the California National Party
10546,Food and Water Action
10547,"Wes Hart, personal funds."
10548,Friends of Felisha Leffler
10549,Maine Conservation Voters
10550,the Clean Up Toxic Paint Legislative Coalition
10551,Eiran Feldman
10552,Kimberlin Brown Pelzer For Congress
10553,"Paid for by Friends of Harry Roberts, Scott Burnham, Treasurer. "
10554,The Gallagher Group at Keller Williams Gulfside Realty
10555,Blaine for Congress
10556,"the Committee to Elect Anat Levy, 5841 E. Charleston Blvd., #230, Las Vegas, NV 89142; (702) 499-7278"
10557,Lawrence County Democratic Party
10558,NextGen Climate Action
10559,"Friends of Anesh, Bengivenga, & Wolak"
10560,Senator Patrick O'Connor
10561,Richard Kahle for Congress
10562,MLS2ATX
10563,the committee to Elect Randall Hutto for County Mayor
10564,Vote Pat Strong
10565,Stets for House District 12
10566,Charles Brandon Brown for Jackson County Board Dist. 2 
10567,Representative Jason Grenn
10568,"the committee to elect Clinton Neal. Joe Stephens, Treasurer"
10569,"Nuclear Fishin' Software, LLC"
10570,Veteran Loan Benefits
10571,Community Health Partnership
10572,Concerned Citizens of Carmel IN
10573,"James Taylor, Republican, for St. Lucie County Commission"
10574,Das for Congress
10575,Committee to Elect Judge David W. Dugan
10576,STEPHENS 2018
10577,Friends of Hazel Gibson
10578,McFarland for Arizona
10579,America First Policies
10580,Boyd Corbin for Mayor of Wilton Manors
10581,Angela Storey For Judge
10582,Vote Rigler
10583,Friends Of Steve Negron
10584,Lacey Kinnart
10585,"and approved by Alcolya St. Juste for Circuit Court Judge, Group 13, Palm Beach County."
10586,Committee to Elect Shari Africk-Olefson For Circuit Court Judge 
10587,AJC
10588,Mary for Prosecutor
10589,Blue Action Democrats-SW Austin
10590,Concerned Citizens Of America
10591,NumbersUSA
10592,The Committee to Elect Lanna Clark
10593,"Authority, Committee to Elect Bobby Zirkin, Erik Atas, Treasurer"
10594, Hoan Dang for County Council 
10595,Friends of Ashanti Martinez; Treasurer-Lori Cheatham-Thomas
10596,314 Action Fund
10597,Henry Cointy Republican Party
10598,Judson Sapp for Congress
10599,Friends of Ajay Pittman
10600,Viewpoint Israel
10601,Ken Fortier for State Representative
10602,Committee to Support Cabrillo Unified Schools – Yes on M. FPPC# 1404398.
10603,Citizens for Responsible Energy Solutions
10604,Kevin Miller for State Representative
10605,"Friends of David Ryden. Taylor Gomez, Treasurer."
10606,Warwick Democratic Committee
10607,Keep My Rx
10608,Pittman For Pitt County
10609,"Martinez for Ward 4 Campaign, 1772 Hewitt Avenue, St. Paul, MN 55104"
10610,"Scott Jones, Nonpartisan, for Polk County School Board, District 3"
10611,"Committee of Responsible Persons for the Alan B. Schneider for Judge Campaign/Broward County, Florida Group 8/Nonpartisan"
10612,the Committee to Elect Chris Giunchigliani
10613,Mi Familia Vota Education Fund
10614,The committee to elect Christopher Barnett for Oklahoma Governor 2018
10615,Greg for Montana.
10616,Women's Rights and Empowerment Network
10617,LGBTQ Victory Fund 
10618,"Maciejewski, Rinaldi & Mara for Berkeley Heights"
10619,Nicole Carr for School Board
10620,Happy Hippo LLC
10621,NRA Women
10622,Kern Citizens for Energy
10623,Mountain View Tenants Coalition FPPC #1385025
10624,Anjali Kausar for Saratoga City Council 2018 FPPC #1402171
10625,9-11CancerFund.com
10626,Martin Barry for Governor 2018
10627,Friends of Erwin Rose
10628,Friends of Richard Gottfried
10629,Committee to Elect Rosabelle Gorman
10630,and Approved by Mark Beckwith For Mayor New Smyrna Beach
10631,Friends of Ted Steinberg
10632,The Committee to Elect Adina
10633,Illinois Working Together
10634,HPAE - Health Professionals & Allied Employees
10635,Committee to Elect Nathan Winters
10636,Dylan Roberts for Colorado
10637,Dröher Kline for House 20A
10638,Committee To Elect Omar K. Proctor
10639,Missouri Secretary of State
10640,Put Louisiana First. Not authorized by any candidate or candidate comittee.
10641,the Ohio Education Association
10642,Nicole for New York
